name,party_id,startDate,endDate
גדעון בן-ישראל,,1962-08-28T00:00:00,1965-11-22T00:00:00
יעקב גיל,,1988-03-15T00:00:00,1988-11-21T00:00:00
יצחק ברמן,,1980-03-12T00:00:00,1981-07-20T00:00:00
פנחס שינמן,,1977-06-13T00:00:00,1981-07-20T00:00:00
פסח גרופר,,1974-01-21T00:00:00,1977-06-13T00:00:00
משה כרמל,,1958-06-09T00:00:00,1959-11-30T00:00:00
חיים כץ,,2006-11-21T00:00:00,2009-02-24T00:00:00
יהודה בורלא,,1948-05-04T00:00:00,1949-02-14T00:00:00
דוד בר-רב-האי,,1948-05-04T00:00:00,1949-02-14T00:00:00
מאיר ברלין,,1948-05-04T00:00:00,1949-02-14T00:00:00
יחיאל דובדבני,,1948-05-04T00:00:00,1949-02-14T00:00:00
מנחם הגר,,1948-05-04T00:00:00,1949-02-14T00:00:00
מאיר הרטמן,,1948-05-04T00:00:00,1949-02-14T00:00:00
שמואל למברגר,,1948-05-04T00:00:00,1949-02-14T00:00:00
בנימין מינץ,,1948-05-04T00:00:00,1949-02-14T00:00:00
יונה כסה,,1948-05-04T00:00:00,1949-02-14T00:00:00
יעקב רובין,,1948-05-04T00:00:00,1949-02-14T00:00:00
יעקב ריפתין,,1948-05-04T00:00:00,1949-02-14T00:00:00
קופל שוורץ,,1948-05-04T00:00:00,1949-02-14T00:00:00
יוסף שפרינצק,,1948-05-04T00:00:00,1949-02-14T00:00:00
איל ינון,,2007-06-01T00:00:00,2009-02-23T00:00:00
סעיד נפאע,,2007-04-24T00:00:00,2009-02-24T00:00:00
אלי אפללו,,2007-10-08T00:00:00,2008-07-14T00:00:00
עתניאל שנלר,,2007-12-18T00:00:00,2009-02-24T00:00:00
עדנה סולודר,,1982-01-16T00:00:00,1984-08-13T00:00:00
שלמה מולה,,2008-02-09T00:00:00,2009-02-24T00:00:00
מזור בהיינה,,2008-04-27T00:00:00,2009-02-24T00:00:00
אורי מקלב,,2008-07-31T00:00:00,2009-02-24T00:00:00
מוחמד ברכה,,2008-07-30T00:00:00,2009-02-24T00:00:00
צביה גרינפילד,,2008-11-04T00:00:00,2009-02-24T00:00:00
יהושע מנחם פולק,,2009-01-26T00:00:00,2009-02-24T00:00:00
חנין זועבי,,2009-02-24T00:00:00,2013-02-05T00:00:00
עמיר פרץ,,2009-02-24T00:00:00,2012-12-09T00:00:00
שניאור זלמן אברמוב,,1974-02-04T00:00:00,1977-02-21T00:00:00
אילן גילאון,,2009-02-24T00:00:00,2013-02-05T00:00:00
ראובן ארזי,,1972-11-21T00:00:00,1974-01-21T00:00:00
שלמה-ישראל בן-מאיר,,1961-09-04T00:00:00,1963-05-05T00:00:00
אברהם גיבלבר,,1976-01-28T00:00:00,1977-06-13T00:00:00
שמואל דיין,,1959-04-07T00:00:00,1959-11-30T00:00:00
ציפי לבני,,2009-02-24T00:00:00,2012-05-03T00:00:00
מרדכי זר,,1969-11-18T00:00:00,1974-01-21T00:00:00
שאול מופז,,2009-02-24T00:00:00,2013-02-05T00:00:00
יצחק נבון,,1969-11-17T00:00:00,1974-01-21T00:00:00
יצחק נבון,,1965-11-22T00:00:00,1969-11-17T00:00:00
נפתלי פדר,,1984-03-12T00:00:00,1984-08-13T00:00:00
דליה איציק,,2009-02-24T00:00:00,2013-02-05T00:00:00
צחי הנגבי,,2009-02-24T00:00:00,2010-11-09T00:00:00
רוני בר-און,,2009-02-24T00:00:00,2013-02-05T00:00:00
זאב בוים,,2009-02-24T00:00:00,2011-03-18T00:00:00
מאיר שטרית,,2009-02-24T00:00:00,2013-02-05T00:00:00
רוחמה אברהם-בלילא,,2009-02-24T00:00:00,2013-02-05T00:00:00
אבי דיכטר,,2009-02-24T00:00:00,2012-08-16T00:00:00
מרינה סולודקין,,2009-02-24T00:00:00,2013-02-05T00:00:00
יואל חסון,,2009-02-24T00:00:00,2013-02-05T00:00:00
גדעון עזרא,,2009-02-24T00:00:00,2012-05-17T00:00:00
יעקב אדרי,,2009-02-24T00:00:00,2013-02-05T00:00:00
אלי אפללו,,2009-02-24T00:00:00,2012-01-25T00:00:00
זאב בילסקי,,2009-02-24T00:00:00,2013-02-05T00:00:00
רונית תירוש,,2009-02-24T00:00:00,2013-02-05T00:00:00
חיים רמון,,2009-02-24T00:00:00,2009-07-02T00:00:00
