,date,file_path,debate_title,country
192,2010-03-18,Data/speeches/UK/U Legislation (Buses) 2010-03-18.json,EU Legislation (Buses),2.0
193,2010-03-24,Data/tmp_text_files/UK/EU Referendum 2010-03-24.txt,,
194,2010-03-18,Data/speeches/UK/uropean Parliamentary Elections (Northern Ireland) (Amendment) Regulations 2010 2010-03-18.json,European Parliamentary Elections (Northern Ireland) (Amendment) Regulations 2010,2.0
195,2010-03-25,Data/speeches/UK/uropean Parliamentary Elections (Northern Ireland) (Amendment) Regulations 2010 2010-03-25.json,European Parliamentary Elections (Northern Ireland) (Amendment) Regulations 2010,2.0
196,2010-03-10,Data/tmp_text_files/UK/European Union Documents 2010-03-10.txt,,
197,2010-03-15,Data/speeches/UK/U_ Financial Assistance to Member States 2010-03-15.json,EU: Financial Assistance to Member States,2.0
198,2010-03-10,Data/speeches/UK/U_ International Development 2010-03-10.json,EU: International Development,2.0
199,2010-03-22,Data/speeches/UK/xeter and Devon (Structural Changes) Order 2010 2010-03-22.json,Exeter and Devon (Structural Changes) Order 2010,2.0
200,2010-03-25,Data/speeches/UK/arming (Competitiveness) 2010-03-25.json,Farming (Competitiveness),2.0
201,2010-03-25,Data/speeches/UK/inancial Assistance Scheme (Miscellaneous Amendments) Regulations 2010 2010-03-25.json,Financial Assistance Scheme (Miscellaneous Amendments) Regulations 2010,2.0
202,2010-03-23,Data/tmp_text_files/UK/Financial Assistance Scheme 2010-03-23.txt,,
203,2010-03-25,Data/speeches/UK/inancial Services and Markets Act 2000 (Amendments to Part 18A etc.) Regulations 2010 2010-03-25.json,Financial Services and Markets Act 2000 (Amendments to Part 18A etc.) Regulations 2010,2.0
204,2010-03-25,Data/tmp_text_files/UK/Financial Services and Markets Act 2000 (Liability of Issuers) Regulations 2010 2010-03-25.txt,,
205,2010-03-10,Data/speeches/UK/inancial Services Bill 2010-03-10 (1).json,Financial Services Bill,2.0
206,2010-03-10,Data/speeches/UK/inancial Services Bill 2010-03-10.json,Financial Services Bill,2.0
207,2010-03-15,Data/speeches/UK/inancial Services Bill 2010-03-15 (1).json,Financial Services Bill,2.0
208,2010-03-15,Data/speeches/UK/inancial Services Bill 2010-03-15.json,Financial Services Bill,2.0
209,2010-03-24,Data/speeches/UK/inancial Statement 2010-03-24.json,Financial Statement,2.0
210,2010-03-23,Data/tmp_text_files/UK/Fire Safety (Schools) 2010-03-23.txt,,
211,2010-03-23,Data/speeches/UK/irearms_ Imitation Weapons 2010-03-23.json,Firearms: Imitation Weapons,2.0
212,2010-03-17,Data/speeches/UK/lood and Water Management Bill 2010-03-17.json,Flood and Water Management Bill,2.0
213,2010-03-24,Data/speeches/UK/lood and Water Management Bill 2010-03-24.json,Flood and Water Management Bill,2.0
214,2010-03-23,Data/speeches/UK/OI Request 2010-03-23.json,FOI Request,2.0
215,2010-03-25,Data/speeches/UK/ood Industry 2010-03-25.json,Food Industry,2.0
216,2010-03-25,Data/speeches/UK/ood Wastage 2010-03-25.json,Food Wastage,2.0
217,2010-03-16,"Data/tmp_text_files/UK/Footpath Closure (Hadleigh, Castle Point) 2010-03-16.txt",,
218,2010-03-16,Data/tmp_text_files/UK/Free School Meals (Stoke-on-Trent) 2010-03-16.txt,,
219,2010-03-24,Data/tmp_text_files/UK/Freedom Pass (Croydon) 2010-03-24.txt,,
220,2010-03-22,Data/speeches/UK/ront-line Policing 2010-03-22.json,Front-line Policing,2.0
221,2010-03-24,Data/speeches/UK/uel Smuggling 2010-03-24.json,Fuel Smuggling,2.0
222,2010-03-18,Data/speeches/UK/unding Code_ Criteria and Procedures 2010-03-18.json,Funding Code: Criteria and Procedures,2.0
223,2010-03-23,Data/speeches/UK/unding Code_ Criteria and Procedures 2010-03-23.json,Funding Code: Criteria and Procedures,2.0
224,2010-03-25,Data/speeches/UK/urther Education_ Funding 2010-03-25.json,Further Education: Funding,2.0
225,2010-03-25,Data/speeches/UK/overnment and the Legislature 2010-03-25.json,Government and the Legislature,2.0
226,2010-03-16,Data/speeches/UK/overnment Holdings (RBS) 2010-03-16.json,Government Holdings (RBS),2.0
227,2010-03-16,Data/speeches/UK/overnment Holdings 2010-03-16.json,Government Holdings,2.0
228,2010-03-10,Data/speeches/UK/rand Committee 2010-03-10 (1).json,Grand Committee,2.0
229,2010-03-10,Data/tmp_text_files/UK/Grand Committee 2010-03-10.txt,,
230,2010-03-11,Data/speeches/UK/rand Committee 2010-03-11 (1).json,Grand Committee,2.0
231,2010-03-11,Data/tmp_text_files/UK/Grand Committee 2010-03-11.txt,,
232,2010-03-15,Data/speeches/UK/rand Committee 2010-03-15 (1).json,Grand Committee,2.0
233,2010-03-15,Data/tmp_text_files/UK/Grand Committee 2010-03-15.txt,,
234,2010-03-17,Data/speeches/UK/rand Committee 2010-03-17 (1).json,Grand Committee,2.0
235,2010-03-17,Data/tmp_text_files/UK/Grand Committee 2010-03-17.txt,,
236,2010-03-18,Data/speeches/UK/rand Committee 2010-03-18 (1).json,Grand Committee,2.0
237,2010-03-18,Data/tmp_text_files/UK/Grand Committee 2010-03-18.txt,,
238,2010-03-23,Data/speeches/UK/rand Committee 2010-03-23 (1).json,Grand Committee,2.0
239,2010-03-23,Data/tmp_text_files/UK/Grand Committee 2010-03-23.txt,,
240,2010-03-24,Data/speeches/UK/rand Committee 2010-03-24 (1).json,Grand Committee,2.0
241,2010-03-24,Data/tmp_text_files/UK/Grand Committee 2010-03-24.txt,,
242,2010-03-25,Data/speeches/UK/rand Committee 2010-03-25 (1).json,Grand Committee,2.0
243,2010-03-25,Data/tmp_text_files/UK/Grand Committee 2010-03-25.txt,,
244,2010-03-10,Data/speeches/UK/rassroots Grants 2010-03-10.json,Grassroots Grants,2.0
245,2010-03-23,Data/speeches/UK/rocery Market Ombudsman Bill (Money) 2010-03-23.json,Grocery Market Ombudsman Bill (Money),2.0
246,2010-03-23,Data/speeches/UK/rocery Market Ombudsman Bill (Ways and Means) 2010-03-23.json,Grocery Market Ombudsman Bill (Ways and Means),2.0
247,2010-03-15,Data/tmp_text_files/UK/Guardian’s Allowance Up-rating (Northern Ireland) Order 2010 2010-03-15.txt,,
248,2010-03-15,Data/tmp_text_files/UK/Guardian’s Allowance Up-rating Order 2010 2010-03-15.txt,,
